survived,fare_class,sex,age,fare
lived,third,male,32,8
lived,second,female,19,26
lived,third,male,23,8
died,third,male,17,8
lived,third,male,29,10
lived,third,female,5,12
lived,first,female,16,39
died,second,male,25,13
died,third,female,37,10
died,third,male,43,8
died,first,male,55,59
died,third,female,31,8
died,third,female,34,8
died,third,male,37,8
died,third,male,21,8
died,third,female,14,8
died,first,male,29,30
lived,first,female,53,51
died,third,male,19,8
died,third,male,18,8
died,third,male,25,8
died,third,female,27,8
lived,first,female,33,53
died,third,male,39,8
died,third,male,28,8
lived,second,female,48,65
lived,third,female,18,9
died,first,male,46,61
died,first,male,19,52
lived,first,female,27,52
died,third,male,20,8
lived,third,female,17,8
died,third,male,22,7
died,third,male,22,7
died,third,male,31,8
lived,second,female,29,26
lived,second,female,2,26
lived,second,female,22,29
died,first,male,44,27
lived,third,male,30,10
died,third,male,26,8
died,first,male,30,30
lived,third,male,4,11
lived,third,female,34,16
died,third,male,28,56
lived,third,male,22,8
died,third,female,20,9
died,second,male,52,14
died,third,male,32,8
lived,second,female,24,27
lived,second,female,4,23
lived,second,male,8,37
died,third,male,33,10
lived,first,female,35,512
died,third,male,47,9
died,third,male,22,8
lived,third,male,3,16
lived,third,female,47,7
died,third,male,19,8
died,third,male,18,8
died,third,male,38,8
died,first,female,63,222
lived,first,male,31,57
died,third,male,20,8
died,second,male,25,26
lived,second,female,28,13
lived,third,male,42,8
died,third,female,20,10
died,third,male,19,8
died,first,male,19,263
died,first,male,58,113
died,second,female,27,21
lived,first,female,14,120
died,third,female,32,16
lived,third,male,26,56
lived,second,male,24,11
lived,first,female,45,63
lived,third,female,22,12
died,first,male,55,50
died,third,male,42,8
lived,third,male,26,56
died,first,male,56,27
died,third,male,28,8
lived,third,female,4,13
died,third,male,21,24
died,third,male,33,8
died,third,male,27,8
lived,first,female,35,53
died,second,male,19,11
lived,first,female,49,77
lived,third,male,21,8
died,second,male,57,12
died,third,male,16,9
died,third,male,16,10
lived,third,female,18,10
lived,second,female,30,14
died,third,male,51,8
lived,first,female,58,512
lived,third,female,26,16
died,first,male,24,79
lived,second,female,28,33
lived,third,female,33,16
lived,second,female,29,26
lived,second,female,28,26
died,first,male,28,82
died,third,male,26,8
lived,third,male,9,3
lived,third,male,12,11
lived,third,male,32,8
lived,second,female,50,11
lived,first,female,29,29
died,third,male,21,8
lived,third,female,41,8
lived,second,male,1,39
died,second,male,30,24
lived,first,female,17,109
died,third,male,51,8
died,third,female,33,16
died,second,male,25,11
lived,first,female,27,248
lived,third,female,38,8
lived,third,male,26,8
lived,third,male,44,8
died,third,female,2,28
died,third,male,22,8
died,third,male,33,7
lived,first,female,28,263
lived,first,male,40,31
died,second,male,28,11
died,third,female,18,8
died,third,male,40,8
died,second,male,21,12
died,third,male,20,9
died,third,male,20,8
died,third,male,1,14
lived,first,female,30,57
died,third,male,26,8
lived,second,female,36,39
died,third,male,41,8
lived,third,female,19,8
died,first,male,56,31
died,third,male,18,8
died,third,female,6,31
died,second,male,34,26
lived,third,male,29,22
died,third,male,44,8
died,first,male,47,39
lived,third,female,26,8
died,third,male,20,8
died,third,male,19,8
died,second,male,28,14
lived,first,female,18,60
lived,second,female,28,13
lived,third,female,17,7
died,second,male,40,26
died,third,male,22,8
died,third,male,29,8
lived,second,female,48,37
lived,first,male,20,40
lived,first,female,40,135
died,third,male,27,8
died,third,male,42,9
died,second,male,35,26
lived,second,female,36,13
died,third,male,31,8
died,third,male,17,9
lived,third,male,37,17
died,third,male,29,8
died,third,male,4,29
died,third,male,32,8
lived,third,female,21,8
died,first,male,33,27
lived,third,female,15,8
lived,first,female,18,228
died,third,male,25,56
died,third,female,45,28
died,third,male,41,14
lived,second,male,3,19
lived,first,female,62,80
died,second,male,29,21
died,first,male,36,40
lived,first,male,28,27
died,first,male,41,52
died,first,male,29,67
lived,second,female,50,26
died,third,male,22,8
died,second,male,30,13
lived,first,female,64,27
died,third,male,33,8
lived,third,female,23,8
lived,first,female,44,58
died,first,male,42,27
died,first,male,55,31
died,second,male,35,12
died,second,male,61,12
died,third,male,26,8
died,second,male,59,14
lived,third,female,22,8
died,second,male,35,16
died,first,male,55,94
lived,third,male,21,8
lived,first,female,52,78
died,second,male,31,13
lived,first,male,30,30
lived,first,female,33,52
died,first,male,47,42
lived,second,male,23,13
lived,first,female,45,262
lived,second,female,50,11
lived,third,female,41,8
died,third,male,30,8
died,third,female,30,8
died,third,male,71,8
died,third,male,17,9
lived,first,female,16,58
died,second,male,29,28
died,third,male,25,8
died,third,male,30,16
lived,second,male,1,37
died,first,male,67,222
died,second,male,34,26
died,third,female,17,8
died,third,female,16,47
died,second,male,47,11
lived,third,female,36,16
lived,first,female,18,80
died,first,male,22,28
died,third,male,28,16
died,third,male,24,8
died,third,female,36,12
lived,first,female,58,27
died,third,male,43,8
lived,first,male,43,28
died,third,male,24,8
lived,second,male,34,13
died,third,male,32,8
lived,third,male,27,8
lived,third,female,44,8
died,second,male,43,26
lived,first,female,44,28
lived,second,female,3,42
died,third,female,22,9
lived,second,male,3,26
died,third,female,9,28
lived,second,female,18,23
died,third,male,20,8
died,third,male,32,8
lived,first,female,43,55
lived,second,female,29,23
died,third,male,26,8
lived,first,male,16,36
died,third,male,22,8
died,first,male,70,71
died,second,male,21,12
died,third,male,16,8
died,second,female,18,13
lived,second,male,30,13
died,third,male,26,8
lived,third,female,26,8
lived,first,female,35,136
died,second,male,52,13
died,third,male,9,31
died,third,male,24,8
died,third,female,24,9
died,third,male,25,18
died,second,male,19,13
lived,first,male,23,63
lived,second,male,29,14
died,third,male,41,8
lived,first,female,58,147
died,third,male,16,8
lived,third,female,13,7
died,third,female,20,8
lived,second,female,24,65
lived,first,female,54,78
lived,second,female,4,39
died,second,male,36,11
lived,first,male,49,89
died,first,male,39,30
lived,first,female,36,262
lived,third,male,25,0
died,second,male,50,26
died,first,male,28,31
lived,third,male,16,15
lived,first,female,38,52
lived,third,female,9,15
lived,third,female,31,21
lived,third,male,27,9
died,third,male,23,8
lived,first,female,31,134
lived,first,female,33,90
died,second,male,30,21
lived,third,male,33,8
lived,first,male,6,135
lived,second,male,26,29
died,third,male,35,8
lived,first,male,27,53
lived,first,female,31,135
died,first,female,50,29
lived,first,female,54,82
lived,third,female,17,23
died,third,male,35,8
died,first,male,38,153
died,third,female,40,23
died,third,male,36,16
died,third,male,17,8
died,third,female,29,8
lived,first,female,52,94
died,third,male,42,8
lived,third,female,27,8
died,second,male,28,26
lived,first,female,31,165
died,third,male,21,8
died,third,female,43,47
lived,third,female,24,19
lived,second,female,14,30
lived,first,male,56,36
lived,third,female,39,24
lived,third,female,21,8
died,first,male,18,109
lived,third,female,18,7
died,second,male,35,11
lived,third,female,43,8
died,second,male,31,11
lived,first,female,33,87
lived,third,female,37,8
lived,third,female,22,8
died,first,male,19,53
died,third,male,20,8
died,third,female,23,8
lived,first,male,42,26
lived,second,female,15,39
died,first,male,44,90
died,third,male,1,40
lived,second,female,27,14
lived,third,male,16,8
lived,third,male,22,7
lived,first,male,49,57
died,third,male,7,40
died,third,female,29,8
lived,third,female,63,10
died,second,female,22,21
lived,first,female,60,75
lived,first,female,24,69
lived,first,female,45,53
lived,second,female,25,26
lived,second,female,12,39
lived,first,female,35,58
died,second,male,36,13
died,second,male,63,26
lived,third,male,7,15
died,second,male,19,11
lived,first,female,19,91
lived,first,female,31,113
lived,first,female,24,83
lived,third,female,33,8
lived,first,male,50,134
died,third,male,17,8
died,first,male,62,27
died,third,male,26,21
lived,third,male,25,7
lived,first,male,28,36
died,third,male,20,8
died,third,male,27,8
died,third,male,25,8
died,first,male,38,42
lived,first,female,33,152
died,second,male,43,21
died,third,male,36,16
lived,third,female,19,8
died,third,male,17,7
lived,third,female,36,8
died,second,male,57,13
lived,third,male,18,8
lived,third,male,3,31
lived,first,female,21,78
died,third,male,22,8
lived,first,female,22,55
lived,second,female,24,15
lived,third,male,20,7
died,third,female,30,9
died,third,male,32,16
lived,third,male,39,8
died,second,male,30,13
died,second,male,44,26
died,third,male,36,8
lived,third,female,38,7
lived,third,female,38,8
died,third,male,11,47
died,first,male,37,83
lived,third,female,36,17
died,second,male,28,13
lived,first,female,60,263
died,second,male,42,33
died,third,male,24,9
died,third,male,50,8
lived,third,male,29,15
died,third,male,28,10
lived,third,female,0,21
lived,third,female,41,16
lived,first,female,48,40
died,third,male,40,8
died,second,male,31,26
died,third,male,17,9
lived,third,female,19,8
lived,third,female,1,17
died,third,male,39,7
lived,third,female,26,22
died,third,male,20,8
lived,third,male,1,21
died,third,male,22,8
died,second,male,44,13
lived,first,female,22,59
died,third,male,26,9
died,second,male,24,11
lived,third,female,22,8
lived,first,female,18,53
died,third,female,18,8
died,second,male,25,11
died,first,male,45,83
lived,third,female,19,16
lived,first,female,21,27
lived,first,male,36,31
died,first,male,65,62
lived,second,female,31,21
lived,first,female,33,28
lived,third,female,21,8
lived,first,female,60,76
died,second,male,23,12
died,second,male,24,14
lived,first,female,22,62
lived,third,female,5,31
died,second,male,39,13
lived,first,female,48,262
died,third,male,18,8
lived,first,female,22,152
died,third,male,11,19
lived,third,female,38,16
died,second,male,19,37
died,second,male,70,11
lived,third,female,40,15
lived,second,female,24,19
lived,first,male,25,55
lived,first,female,48,26
died,third,male,31,18
died,third,male,24,8
lived,second,female,33,26
lived,third,male,27,23
died,third,male,28,8
died,third,male,10,29
lived,third,male,45,8
lived,second,female,1,42
lived,second,female,20,23
died,first,male,18,40
died,third,male,23,8
died,third,female,3,14
died,third,male,26,8
died,third,male,24,8
died,third,female,2,10
died,third,male,39,16
died,third,male,32,70
died,first,male,42,43
died,third,male,8,29
lived,second,male,22,11
lived,first,male,45,30
lived,second,female,31,21
lived,first,male,1,1
lived,second,male,2,26
died,first,male,61,32
died,third,female,19,8
died,third,male,14,47
died,second,male,36,13
died,first,male,42,52
died,third,male,39,8
lived,first,male,4,82
lived,second,female,20,26
lived,first,male,42,26
died,third,male,33,9
died,first,male,31,50
died,third,female,26,16
died,third,female,28,8
lived,second,female,6,33
died,third,male,17,8
lived,first,female,38,80
lived,third,male,20,8
lived,first,male,36,512
died,third,male,31,8
lived,third,male,32,56
lived,second,female,30,21
died,first,male,17,47
died,second,male,27,26
lived,third,male,25,8
lived,first,male,27,77
lived,third,female,27,7
died,third,male,24,16
lived,third,female,30,8
died,first,male,60,27
died,third,male,21,8
died,third,male,22,9
died,third,male,24,7
lived,first,male,24,82
lived,third,female,4,17
lived,third,female,1,19
died,third,male,19,8
lived,third,male,37,8
lived,third,male,6,12
died,third,male,42,8
died,third,female,30,16
died,first,male,64,263
died,second,male,27,13
died,second,male,32,13
died,first,male,64,75
died,third,female,36,70
died,third,male,24,8
lived,third,female,17,16
died,second,male,25,13
lived,second,female,34,23
lived,second,female,33,13
died,third,male,25,7
died,third,male,37,8
died,first,male,57,165
died,third,male,4,31
lived,first,female,51,39
died,third,male,40,8
died,third,male,33,8
lived,third,female,1,16
died,third,male,39,8
lived,first,female,22,32
lived,third,female,24,8
died,second,male,23,11
died,second,male,29,11
died,third,male,33,8
died,third,male,32,8
lived,first,female,43,89
died,third,male,39,20
died,first,male,21,77
died,third,male,18,9
lived,third,male,32,56
died,second,male,32,11
died,third,female,37,8
died,third,male,24,9
lived,first,female,23,83
died,third,female,23,9
lived,third,female,24,16
lived,first,male,17,111
lived,second,female,30,12
lived,second,male,19,11
lived,first,male,51,27
died,second,male,37,26
died,third,male,21,8
died,third,male,38,8
lived,third,female,39,8
lived,first,male,32,31
lived,second,female,32,13
died,second,male,31,37
died,second,male,30,13
died,second,male,39,13
died,first,male,31,52
died,second,male,50,13
lived,first,female,56,83
died,second,male,14,65
lived,second,male,62,11
died,third,male,9,47
lived,third,female,33,8
lived,third,female,31,9
lived,third,male,18,8
lived,third,male,16,56
died,first,male,48,50
lived,third,male,24,7
lived,second,female,34,11
died,third,male,32,8
lived,second,female,40,16
lived,first,female,36,55
lived,first,female,32,111
lived,first,female,35,83
died,first,male,30,46
lived,third,female,16,8
died,third,male,32,8
lived,first,female,43,211
lived,third,female,20,23
lived,first,male,80,30
lived,first,female,35,90
lived,first,female,39,80
died,second,female,60,26
lived,second,female,41,20
died,third,female,18,18
lived,first,female,25,79
lived,first,male,42,53
died,third,female,29,10
died,first,male,33,212
died,third,female,24,8
died,second,male,33,12
died,third,male,10,28
died,first,male,17,27
died,second,female,24,13
died,third,female,31,18
died,third,male,18,9
died,second,male,30,13
lived,third,male,21,8
lived,second,female,36,13
lived,first,female,42,228
lived,third,male,32,8
lived,first,female,30,31
lived,first,male,53,29
died,third,male,21,8
lived,first,male,38,90
lived,first,female,35,212
lived,second,female,22,42
lived,third,male,21,8
lived,second,male,32,26
died,third,male,20,10
lived,second,female,22,11
died,second,female,38,13
died,third,male,42,8
lived,third,male,26,19
lived,first,male,31,29
died,first,male,23,31
died,second,male,18,74
lived,second,female,28,24
lived,second,female,21,21
died,first,male,28,47
lived,first,female,39,56
died,third,male,40,8
died,third,female,18,18
lived,first,female,36,136
died,second,male,16,11
lived,second,female,25,30
lived,third,male,29,8
lived,first,female,17,57
lived,third,male,38,7
died,third,female,28,8
lived,first,male,53,82
died,third,male,16,8
lived,first,female,38,228
lived,second,female,17,12
died,second,female,30,13
lived,second,female,31,26
died,third,female,31,8
lived,third,female,24,17
died,first,male,32,28
died,third,male,13,31
lived,first,male,40,30
lived,second,female,8,26
died,third,male,40,16
lived,first,female,39,83
lived,second,female,12,16
lived,first,female,50,248
died,third,female,23,8
died,first,male,27,212
lived,third,female,16,8
lived,second,male,42,13
died,third,male,18,8
died,third,male,26,8
lived,second,male,2,23
lived,third,female,18,8
lived,first,male,54,55
lived,third,female,22,8
died,third,male,30,8
died,third,female,21,9
died,third,female,1,12
lived,first,male,48,48
lived,first,male,32,26
lived,first,female,23,113
died,first,male,25,26
died,third,male,33,23
died,third,female,39,29
lived,first,female,18,262
died,third,male,30,8
died,third,female,26,14
died,second,male,30,11
lived,third,male,32,22
died,third,male,44,8
died,first,male,24,248
lived,first,female,50,212
died,third,female,38,8
died,third,female,45,8
died,first,male,45,27
died,third,male,2,29
lived,first,female,40,153
died,third,male,16,18
died,third,male,30,7
lived,third,female,16,8
lived,second,female,34,33
died,second,male,23,11
died,third,male,42,8
died,third,male,43,9
died,third,male,43,8
died,first,male,46,79
lived,first,male,26,30
lived,third,male,24,8
died,third,male,21,7
died,third,male,25,8
lived,first,female,16,87
died,first,male,40,26
died,first,male,37,53
died,second,male,30,13
died,third,female,19,16
died,third,male,29,8
died,second,male,26,13
died,first,male,46,29
lived,first,female,37,90
died,third,male,33,9
lived,third,female,22,22
died,third,male,39,7
lived,first,male,34,27
died,third,male,44,16
died,second,male,51,13
died,second,male,66,11
lived,third,male,31,8
lived,third,female,45,7
died,first,male,47,34
died,third,male,27,8
died,third,male,27,9
lived,third,female,4,22
lived,third,female,16,9
died,third,male,17,9
died,third,male,28,10
lived,third,male,0,9
died,third,male,46,7
died,third,female,28,8
died,third,male,21,8
lived,first,male,11,120
died,third,male,2,40
lived,second,female,34,12
died,third,male,39,16
died,third,male,29,8
lived,third,male,32,8
lived,first,female,58,153
lived,third,male,27,7
died,second,male,23,13
lived,first,female,55,136
died,third,male,25,8
died,second,male,41,13
died,second,male,28,11
lived,second,male,1,29
died,second,male,36,28
died,first,male,41,50
lived,first,female,49,26
lived,first,male,25,91
died,third,female,22,11
died,third,male,30,8
lived,first,female,39,109
died,first,male,51,61
lived,first,female,55,26
lived,first,female,76,79
died,third,male,1,47
lived,first,male,60,79
died,first,male,52,80
lived,second,female,5,28
lived,first,female,26,137
lived,first,female,51,78
lived,first,female,33,28
lived,third,female,30,22
lived,third,male,32,7
died,second,male,39,26
lived,third,male,14,9
died,second,male,17,74
died,second,male,40,13
lived,third,male,25,8
lived,second,female,19,26
died,third,male,29,16
died,second,female,57,11
died,third,male,39,8
died,third,male,45,7
died,second,male,27,26
lived,second,female,24,26
lived,first,male,13,262
lived,third,female,27,12
died,second,male,26,13
died,first,male,49,111
died,third,male,35,8
died,third,female,31,8
died,first,male,54,52
lived,first,female,25,82
died,third,female,10,47
died,second,male,54,26
died,third,male,34,8
lived,first,female,35,52
lived,second,female,42,13
lived,third,female,22,7
died,third,male,17,16
lived,third,female,26,8
died,third,female,40,9
died,second,male,16,11
died,first,male,47,52
lived,first,female,24,50
died,third,male,16,8
died,second,male,21,12
died,third,male,35,8
lived,first,male,35,26
lived,third,male,29,8
died,second,male,30,26
lived,third,female,35,16
lived,first,female,29,222
lived,first,female,22,67
died,third,male,40,31
died,first,male,29,28
died,second,male,24,13
lived,second,female,28,13
died,first,male,50,212
lived,second,female,20,37
died,third,male,39,8
lived,third,male,31,8
died,first,male,50,56
lived,first,female,21,262
lived,first,male,27,27
died,third,male,23,14
died,third,male,16,40
lived,first,male,35,27
died,third,male,21,8
lived,third,male,32,8
lived,first,female,24,263
lived,first,male,48,52
died,second,male,23,11
died,third,female,35,8
died,third,female,40,8
lived,third,female,22,8
lived,first,female,53,27
lived,second,female,24,28
lived,second,female,45,30
died,third,male,36,8
died,third,male,32,8
died,third,male,23,8
died,second,male,23,13
lived,second,male,1,15
died,third,male,43,8
lived,second,female,54,23
died,third,male,19,8
lived,second,female,1,28
lived,first,female,55,28
lived,first,male,27,31
lived,first,female,23,82
died,third,male,21,8
lived,first,male,36,26
died,second,male,16,26
died,third,male,16,16
died,third,male,23,9
lived,third,female,23,8
died,third,male,22,10
lived,first,female,24,147
died,third,male,22,9
lived,first,female,30,87
died,first,male,17,222
lived,third,female,29,15
died,third,male,35,8
lived,second,female,27,11
died,first,male,57,147
died,third,female,21,10
died,third,male,19,7
lived,first,female,30,106
died,second,male,34,13
died,first,male,30,28
died,first,male,41,31
lived,second,female,30,13
died,second,male,34,21
lived,third,female,27,11
died,first,male,36,79
lived,first,female,47,53
lived,first,male,52,31
died,second,male,19,13
died,second,male,29,26
died,third,male,19,8
lived,second,female,36,26
lived,third,female,30,12
died,third,male,33,8
died,first,male,22,26
died,second,male,62,10
died,second,female,36,21
died,third,male,40,47
lived,third,male,25,8
lived,third,female,1,11
died,first,male,62,27
died,third,male,42,8
died,third,male,20,8
died,second,male,27,13
lived,second,female,33,28
lived,third,female,30,7
died,third,male,21,9
lived,third,male,19,8
lived,third,female,23,8
lived,third,female,35,20
lived,second,female,24,65
died,third,male,4,28
died,third,female,25,8
died,second,male,48,13
died,third,male,48,8
died,third,female,29,8
lived,first,female,47,61
lived,first,female,22,50
died,second,male,42,13
died,third,male,33,10
lived,first,female,38,71
died,third,male,30,8
died,third,male,17,9
lived,third,female,1,19
lived,second,female,29,26
died,first,female,2,2
lived,third,female,29,8
died,third,male,36,10
died,third,male,33,21
died,third,male,20,10
lived,first,female,24,69
died,third,male,26,8
died,second,male,36,13
lived,third,female,5,19
lived,third,male,25,10
lived,first,male,36,26
lived,second,female,21,11
lived,third,male,20,16
lived,first,female,30,94
lived,second,male,8,33
lived,first,female,48,79
lived,first,female,15,211
lived,second,female,40,13
lived,third,male,9,21
lived,first,male,21,61
lived,second,female,18,13
lived,second,female,19,13
died,second,male,18,13
lived,first,female,26,79
died,second,male,21,13
lived,third,male,20,56
died,first,male,47,228
lived,third,female,15,7
died,third,male,39,8
lived,third,female,33,21
lived,second,female,24,37
died,third,male,20,9
died,third,female,27,8
lived,first,female,39,211
died,third,male,43,8
died,third,male,33,8
lived,first,female,59,51
died,third,male,24,7
died,third,male,26,8
lived,third,male,22,7
died,third,male,21,8
died,second,male,25,42
lived,second,male,24,14
died,first,male,23,94
died,first,male,50,106
died,first,male,71,50
lived,first,female,19,30
died,second,male,23,13
lived,second,female,42,26
died,third,male,41,8
died,third,male,34,8
lived,first,male,48,77
died,second,male,42,27
died,second,male,26,11
lived,third,male,38,8
lived,third,female,43,16
lived,third,male,39,13
died,second,male,42,13
died,second,male,46,26
lived,first,male,37,53
died,first,male,22,136
lived,third,female,45,14
lived,first,female,30,165
died,third,male,19,7
lived,second,female,34,13
lived,second,female,26,14
lived,first,female,36,71
lived,third,male,20,8
lived,third,female,38,31
died,first,male,54,77
lived,first,female,25,55
died,third,male,22,8
lived,first,female,63,63
lived,first,male,49,0
lived,third,female,18,8
lived,third,female,15,14
lived,second,female,23,14
died,third,male,32,8
died,first,male,17,52
lived,first,female,54,59
lived,first,female,45,165
lived,first,female,41,135
died,third,male,27,7
died,third,male,23,8
lived,second,female,8,26
died,second,male,18,12
died,third,male,7,29
died,third,female,22,10
died,third,male,27,7
lived,second,female,17,11
lived,second,female,55,16
died,third,male,74,8
died,first,male,27,137
died,second,male,26,13
died,third,male,21,7
died,third,female,22,40
died,first,male,61,262
died,third,female,41,40
died,second,male,33,30
lived,third,female,22,14
lived,second,female,7,26
died,second,male,18,11
died,first,male,39,71
lived,first,male,45,135
lived,third,male,1,9
lived,first,male,36,120
lived,first,female,23,263
died,third,male,24,8
died,third,male,22,8
died,third,male,27,9
lived,first,female,39,111
died,first,male,58,30
died,second,male,34,13
died,third,male,28,8
died,third,male,44,8
lived,second,female,13,20
died,second,male,60,39
died,third,male,26,8
died,third,male,25,8
died,third,male,21,8
died,second,male,25,13
lived,third,male,9,16
lived,second,female,45,14
died,first,male,24,60
lived,first,male,45,27
lived,third,female,18,7
lived,second,female,35,21
died,first,male,41,228
lived,second,female,29,11
died,third,male,38,9
lived,second,female,24,13
died,third,male,19,8
lived,third,female,2,12
died,second,female,26,26
died,third,male,24,10
lived,second,male,20,14
died,first,male,37,30
died,third,male,14,40
died,third,male,25,8
lived,first,female,45,59
died,third,male,27,8
died,third,male,29,9
lived,third,female,14,11
lived,third,female,22,9
lived,first,female,32,76
died,third,male,31,7
lived,third,female,20,8
died,third,male,29,8
died,third,male,22,8
lived,second,male,1,19
died,third,male,42,8
died,third,female,25,8
died,second,male,54,14
died,first,male,40,28
died,third,male,40,28
died,third,male,19,8
lived,first,male,30,58
lived,third,female,26,8
lived,second,male,31,13
died,second,male,49,65
lived,first,female,64,83
died,third,male,21,8
died,third,male,29,8
died,third,male,28,8
died,third,male,25,8
lived,first,female,48,106
lived,first,female,36,120
died,second,male,28,33
died,second,male,32,14
died,third,male,19,10
died,first,male,46,79
lived,second,female,40,39
lived,second,female,45,26
died,first,male,61,34
died,second,male,18,12
lived,first,female,19,26
lived,first,male,35,512